"Id","SalePrice"
1461,126196.901904351
1462,158208.887951917
1463,187366.849388754
1464,200479.085391234
1465,196211.817203447
1466,172532.762717024
1467,169744.126297068
1468,167312.293924139
1469,190691.542292702
1470,130401.369384241
1471,180406.751153419
1472,99580.6721223345
1473,100472.12845555
1474,150197.881425295
1475,124069.006756264
1476,365295.684307454
1477,267176.186396129
1478,305060.948530939
1479,293197.484750575
1480,478565.041320819
1481,305938.734710537
1482,204874.338253528
1483,175250.140406043
1484,157582.807811179
1485,179863.510679517
1486,197099.284708839
1487,328650.234417231
1488,242636.911367553
1489,206949.876250247
1490,237457.551083583
1491,188417.661343154
1492,98384.9934338004
1493,187517.24394158
1494,292862.096985094
1495,285881.374930854
1496,243759.364143331
1497,194588.955782401
1498,154641.965666232
1499,159191.309084921
1500,163040.327140927
1501,180853.874435247
1502,140703.135837528
1503,266922.788317752
1504,245183.745399867
1505,226079.241178747
1506,192927.745246312
1507,236494.468641628
1508,197570.068976384
1509,167151.320836704
1510,155194.406952914
1511,147401.395354191
1512,170988.033146953
1513,127191.580869494
1514,159685.225358817
1515,184637.153564772
1516,143336.546603408
1517,161652.044421485
1518,130477.028644314
1519,204556.740472367
1520,135503.995590175
1521,141930.742016
1522,164211.31858115
1523,113252.202059592
1524,123086.872708667
1525,123264.378080891
1526,125373.069463269
1527,116302.513007309
1528,134718.756716372
1529,156435.121155273
1530,182982.246213341
1531,104768.476725277
1532,102353.881445393
1533,146907.899719042
1534,121389.629092989
1535,159324.191075891
1536,116883.973404979
1537,80763.3633625392
1538,159153.021696884
1539,189154.195303739
1540,97827.9603083268
1541,147214.111959276
1542,141186.485452972
1543,211297.420735812
1544,85676.1684655034
1545,118089.778058579
1546,128718.052517562
1547,137380.400425674
1548,134316.199572841
1549,117082.914024521
1550,143267.976718836
1551,114799.636366213
1552,133387.9801611
1553,147487.806143011
1554,117947.123718293
1555,172385.560462241
1556,102044.195903522
1557,111668.130657366
1558,101467.205798092
1559,89904.7524790615
1560,135384.268608456
1561,125947.760424751
1562,131411.610552827
1563,127082.696598779
1564,170566.587276509
1565,151110.176215758
1566,247338.158329182
1567,83491.5463836245
1568,242389.872404695
1569,129085.39158503
1570,133281.100426722
1571,116616.609123019
1572,145127.798995232
1573,237113.190701386
1574,109103.173047857
1575,233606.411406646
1576,219258.170224675
1577,192382.206355887
1578,154258.244086616
1579,141086.597051777
1580,198824.392437275
1581,147110.922053094
1582,131614.718559566
1583,310056.759123732
1584,230095.397594977
1585,140440.205559916
1586,73743.2607507411
1587,103612.330286374
1588,154264.309310272
1589,103788.475067478
1590,134314.981934741
1591,96987.8918300711
1592,119674.617238771
1593,122508.096342111
1594,140991.066565673
1595,111099.934256624
1596,239175.091607761
1597,194399.090642307
1598,210800.148938083
1599,167475.529074406
1600,164315.078219045
1601,70754.3451880514
1602,122809.384828705
1603,86140.4710969894
1604,273779.134645723
1605,234416.054660436
1606,172166.961692152
1607,172031.080753704
1608,206804.155034866
1609,191805.388123831
1610,144357.058213952
1611,138588.388582108
1612,165940.546021657
1613,150592.858534785
1614,117350.943223904
1615,88237.8283452482
1616,79011.8625092901
1617,89017.3143616974
1618,124106.159439365
1619,138888.467960108
1620,146902.025502665
1621,129236.626003134
1622,142376.104368322
1623,256538.03365971
1624,207139.656651995
1625,121210.300827553
1626,167301.496888662
1627,193584.712695593
1628,279148.093266501
1629,179905.689558645
1630,374528.453897456
1631,217322.987672307
1632,251780.563931827
1633,173161.060185017
1634,186051.435258349
1635,181314.372930952
1636,149721.772629394
1637,195726.855357662
1638,195797.378983079
1639,187362.729637488
1640,271158.93477666
1641,189565.755074203
1642,235499.667672595
1643,238813.937985483
1644,242647.947999644
1645,195871.162721037
1646,146901.202854721
1647,160037.678659876
1648,133270.263196514
1649,138699.017755725
1650,122530.000510625
1651,126154.989959784
1652,97492.2128610643
1653,100102.71163876
1654,151610.152918631
1655,151957.034121504
1656,144623.488689427
1657,148906.318802881
1658,152442.270462663
1659,131333.226051768
1660,150485.110912894
1661,446061.435306783
1662,432415.646471269
